일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2021-09-16,대구(143),X,26.4,25.8,22.2,16.9,71.6,X, ,X,보통
2021-09-17,대구(143),X,24.5,22.6,20.5,18.1,82.5,X, ,X,보통
2021-09-18,대구(143),X,27.4,26.6,21.5,16.9,79.1,X, ,X,보통
2021-09-19,대구(143),X,27.3,27.1,21.7,17.2,76.3,X, ,X,높음
2021-09-20,대구(143),X,27.2,26.3,21.7,16.6,79.1,X, ,X,높음
2021-09-21,대구(143),X,28.8,26.5,22.9,20.0,90.6,X, ,X,보통
2021-09-22,대구(143),X,28.9,29.6,24.1,18.2,67.4,X, ,X,보통
2021-09-23,대구(143),X,26.1,26.6,21.6,17.6,63.6,X, ,X,높음
2021-09-24,대구(143),X,26.4,25.8,19.7,15.1,82.1,X, ,X,높음
2021-09-25,대구(143),X,26.0,23.6,20.6,17.5,84.8,X, ,X,높음
